"scientificName_original","site","endemic","scientificName_cleaned","genus","species","scientificName_parsed","class","order","valid_AphiaID"
"Pygoscelis papua","Heard and McDonald Islands",,"Pygoscelis papua","Pygoscelis","papua","Pygoscelis papua","Aves","Sphenisciformes",225777
"Aptenodytes patagonicus","Heard and McDonald Islands",,"Aptenodytes patagonicus","Aptenodytes","patagonicus","Aptenodytes patagonicus","Aves","Sphenisciformes",212656
"Aptenodytes forsteri","Heard and McDonald Islands",,"Aptenodytes forsteri","Aptenodytes","forsteri","Aptenodytes forsteri","Aves","Sphenisciformes",225773
"Pygoscelis adeliae","Heard and McDonald Islands",,"Pygoscelis adeliae","Pygoscelis","adeliae","Pygoscelis adeliae","Aves","Sphenisciformes",225757
"Pygoscelis antarctica","Heard and McDonald Islands",,"Pygoscelis antarctica","Pygoscelis","antarctica","Pygoscelis antarctica","Aves","Sphenisciformes",225783
"Mirounga leonina","Heard and McDonald Islands",,"Mirounga leonina","Mirounga","leonina","Mirounga leonina","Mammalia","Carnivora",231413
"Arctocephalus gazella","Heard and McDonald Islands",,"Arctocephalus gazella","Arctocephalus","gazella","Arctocephalus gazella","Mammalia","Carnivora",231404
"Arctocephalus tropicalis","Heard and McDonald Islands",,"Arctocephalus tropicalis","Arctocephalus","tropicalis","Arctocephalus tropicalis","Mammalia","Carnivora",231432
"Hydrurga leptonyx ","Heard and McDonald Islands",,"Hydrurga leptonyx","Hydrurga","leptonyx","Hydrurga leptonyx","Mammalia","Carnivora",231417
"Nacella kerguelensis","Heard and McDonald Islands",,"Nacella kerguelensis","Nacella","kerguelensis","Nacella kerguelensis","Gastropoda",,197297
"Hemiarthrum setulosum","Heard and McDonald Islands",,"Hemiarthrum setulosum","Hemiarthrum","setulosum","Hemiarthrum setulosum","Polyplacophora","Chitonida",386603
"Laevilitorina Corneolitorina heardensis","Heard and McDonald Islands",,"Laevilitorina Corneolitorina heardensis",,,,,,
"Kidderia bicolor","Heard and McDonald Islands",,"Kidderia bicolor","Kidderia","bicolor","Kidderia bicolor","Bivalvia",,197198
"Gaimardia trapesina trapesina","Heard and McDonald Islands",,"Gaimardia trapesina trapesina","Gaimardia","trapesina","Gaimardia trapesina","Bivalvia",,197185
"Champsocephalus gunnari","Heard and McDonald Islands",,"Champsocephalus gunnari","Champsocephalus","gunnari","Champsocephalus gunnari","Actinopteri","Perciformes",234797
"Notothenia squamifrons","Heard and McDonald Islands",,"Notothenia squamifrons","Notothenia","squamifrons","Notothenia squamifrons","Actinopteri","Perciformes",234788
"Dissostichus eleginoides","Heard and McDonald Islands",,"Dissostichus eleginoides","Dissostichus","eleginoides","Dissostichus eleginoides","Actinopteri","Perciformes",234700
"Uria aalge","High Coast / Kvarken Archipelago",,"Uria aalge","Uria","aalge","Uria aalge","Aves","Charadriiformes",137133
"Lutra lutra ","High Coast / Kvarken Archipelago",,"Lutra lutra","Lutra","lutra","Lutra lutra","Mammalia","Carnivora",137076
"Abramis brama","High Coast / Kvarken Archipelago",,"Abramis brama","Abramis","brama","Abramis brama","Actinopteri","Cypriniformes",154281
"Actitis hypoleuca","High Coast / Kvarken Archipelago",,"Actitis hypoleuca","Actitis","hypoleuca","Actitis hypoleuca","Aves","Charadriiformes",212603
"Alburnus alburnus","High Coast / Kvarken Archipelago",,"Alburnus alburnus","Alburnus","alburnus","Alburnus alburnus","Actinopteri","Cypriniformes",154285
"Alca torda","High Coast / Kvarken Archipelago",,"Alca torda","Alca","torda","Alca torda","Aves","Charadriiformes",137128
"Ammodytes lancea","High Coast / Kvarken Archipelago",,"Ammodytes lancea","Ammodytes","lancea","Ammodytes lancea","Actinopteri","Perciformes",126752
"Ammodytes lanceolatus","High Coast / Kvarken Archipelago",,"Ammodytes lanceolatus","Ammodytes","lanceolatus","Ammodytes lanceolatus","Actinopteri","Perciformes",126756
"Ammodytes tobianus","High Coast / Kvarken Archipelago",,"Ammodytes tobianus","Ammodytes","tobianus","Ammodytes tobianus","Actinopteri","Perciformes",126752
"Anas acuta","High Coast / Kvarken Archipelago",,"Anas acuta","Anas","acuta","Anas acuta","Aves","Anseriformes",158939
"Anas clypeata","High Coast / Kvarken Archipelago",,"Anas clypeata","Anas","clypeata","Anas clypeata","Aves","Anseriformes",1461476
"Anas crecca","High Coast / Kvarken Archipelago",,"Anas crecca","Anas","crecca","Anas crecca","Aves","Anseriformes",158943
"Anas platyrhynchos","High Coast / Kvarken Archipelago",,"Anas platyrhynchos","Anas","platyrhynchos","Anas platyrhynchos","Aves","Anseriformes",148791
"Anas querquedula","High Coast / Kvarken Archipelago",,"Anas querquedula","Anas","querquedula","Anas querquedula","Aves","Anseriformes",1459928
"Anas strepera","High Coast / Kvarken Archipelago",,"Anas strepera","Anas","strepera","Anas strepera","Aves","Anseriformes",159171
"Anguilla anguilla","High Coast / Kvarken Archipelago",,"Anguilla anguilla","Anguilla","anguilla","Anguilla anguilla","Actinopteri","Anguilliformes",126281
"Anser anser","High Coast / Kvarken Archipelago",,"Anser anser","Anser","anser","Anser anser","Aves","Anseriformes",416682
"Anser fabalis ","High Coast / Kvarken Archipelago",,"Anser fabalis","Anser","fabalis","Anser fabalis","Aves","Anseriformes",416685
"Ardea cinerea","High Coast / Kvarken Archipelago",,"Ardea cinerea","Ardea","cinerea","Ardea cinerea","Aves","Ciconiiformes",212668
"Arenaria interpres","High Coast / Kvarken Archipelago",,"Arenaria interpres","Arenaria","interpres","Arenaria interpres","Aves","Charadriiformes",147431
"Arenaria interpres","High Coast / Kvarken Archipelago",,"Arenaria interpres","Arenaria","interpres","Arenaria interpres","Aves","Charadriiformes",147431
"Aythya ferina    ","High Coast / Kvarken Archipelago",,"Aythya ferina","Aythya","ferina","Aythya ferina","Aves","Anseriformes",232037
"Aythya fuligula","High Coast / Kvarken Archipelago",,"Aythya fuligula","Aythya","fuligula","Aythya fuligula","Aves","Anseriformes",159164
"Aythya marila","High Coast / Kvarken Archipelago",,"Aythya marila","Aythya","marila","Aythya marila","Aves","Anseriformes",159172
"Belone belone","High Coast / Kvarken Archipelago",,"Belone belone","Belone","belone","Belone belone","Actinopteri","Beloniformes",126375
"Branta canadensis","High Coast / Kvarken Archipelago",,"Branta canadensis","Branta","canadensis","Branta canadensis","Aves","Anseriformes",159176
"Buteo lagopus","High Coast / Kvarken Archipelago",,"Buteo lagopus","Buteo","lagopus","Buteo lagopus","Aves","Falconiformes",159110
"Calidris alba","High Coast / Kvarken Archipelago",,"Calidris alba","Calidris","alba","Calidris alba","Aves","Charadriiformes",159084
"Calidris alpina schinzii","High Coast / Kvarken Archipelago",,"Calidris alpina schinzii","Calidris","alpina","Calidris alpina","Aves","Charadriiformes",159047
"Calidris canutus ","High Coast / Kvarken Archipelago",,"Calidris canutus","Calidris","canutus","Calidris canutus","Aves","Charadriiformes",147433
"Calidris ferruginea ","High Coast / Kvarken Archipelago",,"Calidris ferruginea","Calidris","ferruginea","Calidris ferruginea","Aves","Charadriiformes",159049
"Calidris maritima ","High Coast / Kvarken Archipelago",,"Calidris maritima","Calidris","maritima","Calidris maritima","Aves","Charadriiformes",159052
"Calidris minuta   ","High Coast / Kvarken Archipelago",,"Calidris minuta","Calidris","minuta","Calidris minuta","Aves","Charadriiformes",212600
"Calidris temminckii ","High Coast / Kvarken Archipelago",,"Calidris temminckii","Calidris","temminckii","Calidris temminckii","Aves","Charadriiformes",366591
"Castor fiber ","High Coast / Kvarken Archipelago",,"Castor fiber","Castor","fiber","Castor fiber","Mammalia","Rodentia",890548
"Cepphus grylle","High Coast / Kvarken Archipelago",,"Cepphus grylle","Cepphus","grylle","Cepphus grylle","Aves","Charadriiformes",137130
"Charadrius dubius","High Coast / Kvarken Archipelago",,"Charadrius dubius","Charadrius","dubius","Charadrius dubius","Aves","Charadriiformes",212617
"Charadrius hiaticula","High Coast / Kvarken Archipelago",,"Charadrius hiaticula","Charadrius","hiaticula","Charadrius hiaticula","Aves","Charadriiformes",212619
"Clupea harengus","High Coast / Kvarken Archipelago",,"Clupea harengus","Clupea","harengus","Clupea harengus","Actinopteri","Clupeiformes",126417
"Clupea harengus mebras","High Coast / Kvarken Archipelago",,"Clupea harengus mebras","Clupea","harengus","Clupea harengus","Actinopteri","Clupeiformes",126417
"Coregonus albula","High Coast / Kvarken Archipelago",,"Coregonus albula","Coregonus","albula","Coregonus albula","Actinopteri","Salmoniformes",127178
"Coregonus albula","High Coast / Kvarken Archipelago",,"Coregonus albula","Coregonus","albula","Coregonus albula","Actinopteri","Salmoniformes",127178
"Coregonus lavaretus ","High Coast / Kvarken Archipelago",,"Coregonus lavaretus","Coregonus","lavaretus","Coregonus lavaretus","Actinopteri","Salmoniformes",127180
"Cottus gobio","High Coast / Kvarken Archipelago",,"Cottus gobio","Cottus","gobio","Cottus gobio","Actinopteri","Perciformes",127196
"Cyclopterus lumpus","High Coast / Kvarken Archipelago",,"Cyclopterus lumpus","Cyclopterus","lumpus","Cyclopterus lumpus","Actinopteri","Perciformes",127214
"Cygnus olor","High Coast / Kvarken Archipelago",,"Cygnus olor","Cygnus","olor","Cygnus olor","Aves","Anseriformes",159090
"Esox lucius","High Coast / Kvarken Archipelago",,"Esox lucius","Esox","lucius","Esox lucius","Actinopteri","Esociformes",154210
"Gadus morhua VU","High Coast / Kvarken Archipelago",,"Gadus morhua VU","Gadus","morhua","Gadus morhua","Actinopteri","Gadiformes",126436
"Gallinago gallinago","High Coast / Kvarken Archipelago",,"Gallinago gallinago","Gallinago","gallinago","Gallinago gallinago","Aves","Charadriiformes",158949
"Gasterosteus aculeatus","High Coast / Kvarken Archipelago",,"Gasterosteus aculeatus","Gasterosteus","aculeatus","Gasterosteus aculeatus","Actinopteri","Perciformes",126505
"Gavia arctica   ","High Coast / Kvarken Archipelago",,"Gavia arctica","Gavia","arctica","Gavia arctica","Aves","Gaviiformes",137186
"Gavia stellata","High Coast / Kvarken Archipelago",,"Gavia stellata","Gavia","stellata","Gavia stellata","Aves","Gaviiformes",137188
"Gobius niger","High Coast / Kvarken Archipelago",,"Gobius niger","Gobius","niger","Gobius niger","Actinopteri","Gobiiformes",126892
"Grus grus","High Coast / Kvarken Archipelago",,"Grus grus","Grus","grus","Grus grus","Aves","Gruiformes",1037310
"Gymnocephalus cernuus","High Coast / Kvarken Archipelago",,"Gymnocephalus cernuus","Gymnocephalus","cernuus","Gymnocephalus cernuus","Actinopteri","Perciformes",405451
"Haematopus ostralegus","High Coast / Kvarken Archipelago",,"Haematopus ostralegus","Haematopus","ostralegus","Haematopus ostralegus","Aves","Charadriiformes",147436
"Haliaeetus albicilla","High Coast / Kvarken Archipelago",,"Haliaeetus albicilla","Haliaeetus","albicilla","Haliaeetus albicilla","Aves","Falconiformes",232053
"Halichoerus grypus","High Coast / Kvarken Archipelago",,"Halichoerus grypus","Halichoerus","grypus","Halichoerus grypus","Mammalia","Carnivora",137080
"Haliochoerus grypus","High Coast / Kvarken Archipelago",,"Haliochoerus grypus","Haliochoerus","grypus","Haliochoerus grypus","Mammalia","Carnivora",137080
"Heterocyprideis sorbyana","High Coast / Kvarken Archipelago",,"Heterocyprideis sorbyana","Heterocyprideis","sorbyana","Heterocyprideis sorbyana","Ostracoda","Podocopida",127991
"Lampetra fluviatilis","High Coast / Kvarken Archipelago",,"Lampetra fluviatilis","Lampetra","fluviatilis","Lampetra fluviatilis","Petromyzonti","Petromyzontiformes",101172
"Larus argentatus","High Coast / Kvarken Archipelago",,"Larus argentatus","Larus","argentatus","Larus argentatus","Aves","Charadriiformes",137138
"Larus canus","High Coast / Kvarken Archipelago",,"Larus canus","Larus","canus","Larus canus","Aves","Charadriiformes",137141
"Larus fuscus","High Coast / Kvarken Archipelago",,"Larus fuscus","Larus","fuscus","Larus fuscus","Aves","Charadriiformes",137142
"Larus fuscus fuscus","High Coast / Kvarken Archipelago",,"Larus fuscus fuscus","Larus","fuscus","Larus fuscus","Aves","Charadriiformes",137142
"Larus marinus","High Coast / Kvarken Archipelago",,"Larus marinus","Larus","marinus","Larus marinus","Aves","Charadriiformes",137146
"Larus minutus","High Coast / Kvarken Archipelago",,"Larus minutus","Larus","minutus","Larus minutus","Aves","Charadriiformes",567449
"Larus ridibundus","High Coast / Kvarken Archipelago",,"Larus ridibundus","Larus","ridibundus","Larus ridibundus","Aves","Charadriiformes",137149
"Leuciscus idus","High Coast / Kvarken Archipelago",,"Leuciscus idus","Leuciscus","idus","Leuciscus idus","Actinopteri","Cypriniformes",154324
"Leuciscus leuciscus","High Coast / Kvarken Archipelago",,"Leuciscus leuciscus","Leuciscus","leuciscus","Leuciscus leuciscus","Actinopteri","Cypriniformes",154599
"Limnocalanus macrurus","High Coast / Kvarken Archipelago",,"Limnocalanus macrurus","Limnocalanus","macrurus","Limnocalanus macrurus","Hexanauplia","Calanoida",487770
"Limosa lapponica ","High Coast / Kvarken Archipelago",,"Limosa lapponica","Limosa","lapponica","Limosa lapponica","Aves","Charadriiformes",159034
"Liparis liparis","High Coast / Kvarken Archipelago",,"Liparis liparis","Liparis","liparis","Liparis liparis","Actinopteri","Perciformes",127219
"Liparis liparis","High Coast / Kvarken Archipelago",,"Liparis liparis","Liparis","liparis","Liparis liparis","Actinopteri","Perciformes",127219
"Long-tailed Duck Clangula hyemalis","High Coast / Kvarken Archipelago",,"Long-tailed Duck Clangula hyemalis",,,,,,
"Lota lota ","High Coast / Kvarken Archipelago",,"Lota lota","Lota","lota","Lota lota","Actinopteri","Gadiformes",154388
"Lumpenus lampretaeformis","High Coast / Kvarken Archipelago",,"Lumpenus lampretaeformis","Lumpenus","lampretaeformis","Lumpenus lampretaeformis","Actinopteri","Perciformes",154675
"Lymnocryptes minimus ","High Coast / Kvarken Archipelago",,"Lymnocryptes minimus","Lymnocryptes","minimus","Lymnocryptes minimus","Aves","Charadriiformes",558755
"Macoma balthica","High Coast / Kvarken Archipelago",,"Macoma balthica","Macoma","balthica","Macoma balthica","Bivalvia","Cardiida",141579
"Melanitta fusca","High Coast / Kvarken Archipelago",,"Melanitta fusca","Melanitta","fusca","Melanitta fusca","Aves","Anseriformes",137072
"Melanitta nigra","High Coast / Kvarken Archipelago",,"Melanitta nigra","Melanitta","nigra","Melanitta nigra","Aves","Anseriformes",137073
"Mergus albellus","High Coast / Kvarken Archipelago",,"Mergus albellus","Mergus","albellus","Mergus albellus","Aves","Anseriformes",232039
"Mergus merganser","High Coast / Kvarken Archipelago",,"Mergus merganser","Mergus","merganser","Mergus merganser","Aves","Anseriformes",159097
"Mergus serrator","High Coast / Kvarken Archipelago",,"Mergus serrator","Mergus","serrator","Mergus serrator","Aves","Anseriformes",159098
"Monoporeia affinis","High Coast / Kvarken Archipelago",,"Monoporeia affinis","Monoporeia","affinis","Monoporeia affinis","Malacostraca","Amphipoda",103077
"Myoxocephalus scorpius","High Coast / Kvarken Archipelago",,"Myoxocephalus scorpius","Myoxocephalus","scorpius","Myoxocephalus scorpius","Actinopteri","Perciformes",127203
"Mysis relicta","High Coast / Kvarken Archipelago",,"Mysis relicta","Mysis","relicta","Mysis relicta","Malacostraca","Mysida",120120
"Mytilus edulis","High Coast / Kvarken Archipelago",,"Mytilus edulis","Mytilus","edulis","Mytilus edulis","Bivalvia","Mytilida",140480
"Mytilus trossulus ","High Coast / Kvarken Archipelago",,"Mytilus trossulus","Mytilus","trossulus","Mytilus trossulus","Bivalvia","Mytilida",140482
"Neovison vison ","High Coast / Kvarken Archipelago",,"Neovison vison","Neovison","vison","Neovison vison","Mammalia","Carnivora",1506691
"Nerophis ophidion","High Coast / Kvarken Archipelago",,"Nerophis ophidion","Nerophis","ophidion","Nerophis ophidion","Actinopteri","Syngnathiformes",127385
"Numenius arquata","High Coast / Kvarken Archipelago",,"Numenius arquata","Numenius","arquata","Numenius arquata","Aves","Charadriiformes",159037
"Numenius phaeopus","High Coast / Kvarken Archipelago",,"Numenius phaeopus","Numenius","phaeopus","Numenius phaeopus","Aves","Charadriiformes",159040
"Ondatra zibethicus ","High Coast / Kvarken Archipelago",,"Ondatra zibethicus","Ondatra","zibethicus","Ondatra zibethicus","Mammalia","Rodentia",1451012
"Osmerus eperlanus","High Coast / Kvarken Archipelago",,"Osmerus eperlanus","Osmerus","eperlanus","Osmerus eperlanus","Actinopteri","Osmeriformes",126736
"Pallasea quadrispinosa","High Coast / Kvarken Archipelago",,"Pallasea quadrispinosa","Pallasea","quadrispinosa","Pallasea quadrispinosa","Malacostraca","Amphipoda",732756
"Pandion haliaetus","High Coast / Kvarken Archipelago",,"Pandion haliaetus","Pandion","haliaetus","Pandion haliaetus","Aves","Falconiformes",159377
"Paracyprideis fennica","High Coast / Kvarken Archipelago",,"Paracyprideis fennica","Paracyprideis","fennica","Paracyprideis fennica","Ostracoda","Podocopida",127992
"Perca fluviatilis","High Coast / Kvarken Archipelago",,"Perca fluviatilis","Perca","fluviatilis","Perca fluviatilis","Actinopteri","Perciformes",151353
"Phalacrocorax carbo","High Coast / Kvarken Archipelago",,"Phalacrocorax carbo","Phalacrocorax","carbo","Phalacrocorax carbo","Aves","Pelecaniformes",137179
"Phalaropus lobatus ","High Coast / Kvarken Archipelago",,"Phalaropus lobatus","Phalaropus","lobatus","Phalaropus lobatus","Aves","Charadriiformes",137169
"Philomachus pugnax  ","High Coast / Kvarken Archipelago",,"Philomachus pugnax","Philomachus","pugnax","Philomachus pugnax","Aves","Charadriiformes",159046
"Phoca hispida","High Coast / Kvarken Archipelago",,"Phoca hispida","Phoca","hispida","Phoca hispida","Mammalia","Carnivora",159021
"Phoxinus phoxinus","High Coast / Kvarken Archipelago",,"Phoxinus phoxinus","Phoxinus","phoxinus","Phoxinus phoxinus","Actinopteri","Cypriniformes",154326
"Phusa hispida bothnia ","High Coast / Kvarken Archipelago",,"Phusa hispida bothnia","Phusa","hispida","Phusa hispida","Mammalia","Carnivora",159021
"Platichthys flesus","High Coast / Kvarken Archipelago",,"Platichthys flesus","Platichthys","flesus","Platichthys flesus","Actinopteri","Pleuronectiformes",127141
"Pluvialis apricaria ","High Coast / Kvarken Archipelago",,"Pluvialis apricaria","Pluvialis","apricaria","Pluvialis apricaria","Aves","Charadriiformes",159135
"Pluvialis squatarola ","High Coast / Kvarken Archipelago",,"Pluvialis squatarola","Pluvialis","squatarola","Pluvialis squatarola","Aves","Charadriiformes",159137
"Podiceps auritus","High Coast / Kvarken Archipelago",,"Podiceps auritus","Podiceps","auritus","Podiceps auritus","Aves","Podicipediformes",137181
"Podiceps cristatus","High Coast / Kvarken Archipelago",,"Podiceps cristatus","Podiceps","cristatus","Podiceps cristatus","Aves","Podicipediformes",137182
"Podiceps grisegena","High Coast / Kvarken Archipelago",,"Podiceps grisegena","Podiceps","grisegena","Podiceps grisegena","Aves","Podicipediformes",137183
"Pomatoschistus minutus","High Coast / Kvarken Archipelago",,"Pomatoschistus minutus","Pomatoschistus","minutus","Pomatoschistus minutus","Actinopteri","Gobiiformes",126928
"Pungitius pungitius","High Coast / Kvarken Archipelago",,"Pungitius pungitius","Pungitius","pungitius","Pungitius pungitius","Actinopteri","Perciformes",126507
"Rutilus rutilus","High Coast / Kvarken Archipelago",,"Rutilus rutilus","Rutilus","rutilus","Rutilus rutilus","Actinopteri","Cypriniformes",154333
"Saduria entomon","High Coast / Kvarken Archipelago",,"Saduria entomon","Saduria","entomon","Saduria entomon","Malacostraca","Isopoda",119034
"Salmo salar ","High Coast / Kvarken Archipelago",,"Salmo salar","Salmo","salar","Salmo salar","Actinopteri","Salmoniformes",127186
"Salmo trutta ","High Coast / Kvarken Archipelago",,"Salmo trutta","Salmo","trutta","Salmo trutta","Actinopteri","Salmoniformes",127187
"Sander lucioperca","High Coast / Kvarken Archipelago",,"Sander lucioperca","Sander","lucioperca","Sander lucioperca","Actinopteri","Perciformes",151308
"Scardinius erythrophthalmus","High Coast / Kvarken Archipelago",,"Scardinius erythrophthalmus","Scardinius","erythrophthalmus","Scardinius erythrophthalmus","Actinopteri","Cypriniformes",154165
"Siphonostoma typhle","High Coast / Kvarken Archipelago",,"Siphonostoma typhle","Siphonostoma","typhle","Siphonostoma typhle","Actinopteri","Syngnathiformes",127393
"Somateria mollisima","High Coast / Kvarken Archipelago",,"Somateria mollisima","Somateria","mollisima","Somateria mollisima","Aves","Anseriformes",137074
"Sprattus sprattus","High Coast / Kvarken Archipelago",,"Sprattus sprattus","Sprattus","sprattus","Sprattus sprattus","Actinopteri","Clupeiformes",126425
"Stercorarius parasiticus","High Coast / Kvarken Archipelago",,"Stercorarius parasiticus","Stercorarius","parasiticus","Stercorarius parasiticus","Aves","Charadriiformes",137172
"Sterna caspia","High Coast / Kvarken Archipelago",,"Sterna caspia","Sterna","caspia","Sterna caspia","Aves","Charadriiformes",567825
"Sterna hirundo","High Coast / Kvarken Archipelago",,"Sterna hirundo","Sterna","hirundo","Sterna hirundo","Aves","Charadriiformes",137162
"Sterna paradisaea","High Coast / Kvarken Archipelago",,"Sterna paradisaea","Sterna","paradisaea","Sterna paradisaea","Aves","Charadriiformes",137165
"Sterna paradisea","High Coast / Kvarken Archipelago",,"Sterna paradisea","Sterna","paradisea","Sterna paradisea","Aves","Charadriiformes",137165
"Tadorna tadorna","High Coast / Kvarken Archipelago",,"Tadorna tadorna","Tadorna","tadorna","Tadorna tadorna","Aves","Anseriformes",232042
"Thymallus thymallus","High Coast / Kvarken Archipelago",,"Thymallus thymallus","Thymallus","thymallus","Thymallus thymallus","Actinopteri","Salmoniformes",154375
"Thymallus thymallus","High Coast / Kvarken Archipelago",,"Thymallus thymallus","Thymallus","thymallus","Thymallus thymallus","Actinopteri","Salmoniformes",154375
"Triglopsis quadricornis","High Coast / Kvarken Archipelago",,"Triglopsis quadricornis","Triglopsis","quadricornis","Triglopsis quadricornis","Actinopteri","Perciformes",254529
"Tringa erythropus ","High Coast / Kvarken Archipelago",,"Tringa erythropus","Tringa","erythropus","Tringa erythropus","Aves","Charadriiformes",159029
"Tringa glareola","High Coast / Kvarken Archipelago",,"Tringa glareola","Tringa","glareola","Tringa glareola","Aves","Charadriiformes",225916
"Tringa nebularia","High Coast / Kvarken Archipelago",,"Tringa nebularia","Tringa","nebularia","Tringa nebularia","Aves","Charadriiformes",158968
"Tringa ochropus","High Coast / Kvarken Archipelago",,"Tringa ochropus","Tringa","ochropus","Tringa ochropus","Aves","Charadriiformes",212622
"Tringa stagnalis","High Coast / Kvarken Archipelago",,"Tringa stagnalis","Tringa","stagnalis","Tringa stagnalis","Aves","Charadriiformes",212623
"Tringa totanus","High Coast / Kvarken Archipelago",,"Tringa totanus","Tringa","totanus","Tringa totanus","Aves","Charadriiformes",158970
"Uria aalge","High Coast / Kvarken Archipelago",,"Uria aalge","Uria","aalge","Uria aalge","Aves","Charadriiformes",137133
"Vanellus vanellus","High Coast / Kvarken Archipelago",,"Vanellus vanellus","Vanellus","vanellus","Vanellus vanellus","Aves","Charadriiformes",159142
"Velvet Scoter Melanitta fusca","High Coast / Kvarken Archipelago",,"Velvet Scoter Melanitta fusca",,,,,,
"Zoarces viviparus","High Coast / Kvarken Archipelago",,"Zoarces viviparus","Zoarces","viviparus","Zoarces viviparus","Actinopteri","Perciformes",127123
"Monachus monachus","Ibiza, Biodiversity and Culture",,"Monachus monachus","Monachus","monachus","Monachus monachus","Mammalia","Carnivora",137081
"Caretta caretta","Ibiza, Biodiversity and Culture",,"Caretta caretta","Caretta","caretta","Caretta caretta",,"Testudines",137205
"Tursiops truncatus","Ibiza, Biodiversity and Culture",,"Tursiops truncatus","Tursiops","truncatus","Tursiops truncatus","Mammalia","Cetartiodactyla",137111
"Posidonia oceanica","Ibiza, Biodiversity and Culture",,"Posidonia oceanica","Posidonia","oceanica","Posidonia oceanica","Magnoliopsida","Alismatales",145794
"Sciaena umbra","Ibiza, Biodiversity and Culture",,"Sciaena umbra","Sciaena","umbra","Sciaena umbra","Actinopteri","Eupercaria incertae sedis",127010
"Centrostephanus longispinus","Ibiza, Biodiversity and Culture",,"Centrostephanus longispinus","Centrostephanus","longispinus","Centrostephanus longispinus","Echinoidea","Diadematoida",124331
"Hippospongia communis","Ibiza, Biodiversity and Culture",,"Hippospongia communis","Hippospongia","communis","Hippospongia communis","Demospongiae","Dictyoceratida",132377
"Pinna nobilis","Ibiza, Biodiversity and Culture",,"Pinna nobilis","Pinna","nobilis","Pinna nobilis","Bivalvia","Ostreida",140780
"Pinna pernula","Ibiza, Biodiversity and Culture",,"Pinna pernula","Pinna","pernula","Pinna pernula","Bivalvia","Ostreida",420742
"Scyllarus latus","Ibiza, Biodiversity and Culture",,"Scyllarus latus","Scyllarus","latus","Scyllarus latus","Malacostraca","Decapoda",107708
"Epinephelus guaza","Ibiza, Biodiversity and Culture",,"Epinephelus guaza","Epinephelus","guaza","Epinephelus guaza","Actinopteri","Perciformes",127036
"Ecteniascidia turbina","Ibiza, Biodiversity and Culture",,"Ecteniascidia turbina","Ecteniascidia","turbina","Ecteniascidia turbina","Ascidiacea","Phlebobranchia",103756
"Cystoseira mediterranis","Ibiza, Biodiversity and Culture",,"Cystoseira mediterranis","Cystoseira","mediterranis","Cystoseira mediterranis","Phaeophyceae","Fucales",145524
"Mesophyllum lichenoides","Ibiza, Biodiversity and Culture",,"Mesophyllum lichenoides","Mesophyllum","lichenoides","Mesophyllum lichenoides","Florideophyceae","Hapalidiales",145188
"Cymodocea nodosa","Ibiza, Biodiversity and Culture",,"Cymodocea nodosa","Cymodocea","nodosa","Cymodocea nodosa","Magnoliopsida","Alismatales",145793
"Epinephelus marginatus","Ibiza, Biodiversity and Culture",,"Epinephelus marginatus","Epinephelus","marginatus","Epinephelus marginatus","Actinopteri","Perciformes",127036
"Larus audouinii","Ibiza, Biodiversity and Culture",,"Larus audouinii","Larus","audouinii","Larus audouinii","Aves","Charadriiformes",137139
"Puffinus yelkouan nauretanicus","Ibiza, Biodiversity and Culture",,"Puffinus yelkouan nauretanicus","Puffinus","yelkouan","Puffinus yelkouan","Aves","Procellariiformes",137204
"Himantopus himantopus","Ibiza, Biodiversity and Culture",,"Himantopus himantopus","Himantopus","himantopus","Himantopus himantopus","Aves","Charadriiformes",212609
"Charadrius alexandrinus","Ibiza, Biodiversity and Culture",,"Charadrius alexandrinus","Charadrius","alexandrinus","Charadrius alexandrinus","Aves","Charadriiformes",212611
"Ardes cinerea","Ibiza, Biodiversity and Culture",,"Ardes cinerea","Ardes","cinerea","Ardes cinerea","Aves","Ciconiiformes",212668
"Ardes purpurea","Ibiza, Biodiversity and Culture",,"Ardes purpurea","Ardes","purpurea","Ardes purpurea","Aves","Ciconiiformes",212669
"Egretta garcetta","Ibiza, Biodiversity and Culture",,"Egretta garcetta","Egretta","garcetta","Egretta garcetta","Aves","Ciconiiformes",159115
"Phoenicopterus ruber","Ibiza, Biodiversity and Culture",,"Phoenicopterus ruber","Phoenicopterus","ruber","Phoenicopterus ruber","Aves","Phoenicopteriformes",212708
"Anas sp","Ibiza, Biodiversity and Culture",,"Anas sp",,,,,,
"Circus aeroginosus","Ibiza, Biodiversity and Culture",,"Circus aeroginosus","Circus","aeroginosus","Circus aeroginosus","Aves","Falconiformes",558541
"Pandion Haliaetus","Ibiza, Biodiversity and Culture",,"Pandion Haliaetus",,,,,,
"Podicaps nigricollis","Ibiza, Biodiversity and Culture",,"Podicaps nigricollis","Podicaps","nigricollis","Podicaps nigricollis","Aves","Podicipediformes",137184
"Eliomys cuercinus ophiusae","Ibiza, Biodiversity and Culture",,"Eliomys cuercinus ophiusae","Eliomys","cuercinus","Eliomys cuercinus",,,
"Crocidura russula ibicensis","Ibiza, Biodiversity and Culture",,"Crocidura russula ibicensis","Crocidura","russula","Crocidura russula",,,
"Apodemus eivissensis","Ibiza, Biodiversity and Culture",,"Apodemus eivissensis","Apodemus","eivissensis","Apodemus eivissensis",,,
