"scientificName_original","site","endemic","scientificName_cleaned","genus","species","scientificName_parsed","class","order","valid_AphiaID"
"Cheilinus undulates [EN]","Aldabra Atoll",,"Cheilinus undulates","Cheilinus","undulates","Cheilinus undulates","Actinopteri","Eupercaria incertae sedis",218945
"Naso unicornis","Aldabra Atoll",,"Naso unicornis","Naso","unicornis","Naso unicornis","Actinopteri","Acanthuriformes",219668
"Pterocaesio tile","Aldabra Atoll",,"Pterocaesio tile","Pterocaesio","tile","Pterocaesio tile","Actinopteri","Eupercaria incertae sedis",213656
"Caranx melampygus","Aldabra Atoll",,"Caranx melampygus","Caranx","melampygus","Caranx melampygus","Actinopteri","Carangiformes",218419
"Epinephelus tukula","Aldabra Atoll",,"Epinephelus tukula","Epinephelus","tukula","Epinephelus tukula","Actinopteri","Perciformes",218246
"Naso unicornis","Aldabra Atoll",,"Naso unicornis","Naso","unicornis","Naso unicornis","Actinopteri","Acanthuriformes",219668
"Lutjanus kasmira","Aldabra Atoll",,"Lutjanus kasmira","Lutjanus","kasmira","Lutjanus kasmira","Actinopteri","Eupercaria incertae sedis",218482
"Myripristis berndti","Aldabra Atoll",,"Myripristis berndti","Myripristis","berndti","Myripristis berndti","Actinopteri","Holocentriformes",217927
"Lutjanus bohar","Aldabra Atoll",,"Lutjanus bohar","Lutjanus","bohar","Lutjanus bohar","Actinopteri","Eupercaria incertae sedis",218479
"Variola louti","Aldabra Atoll",,"Variola louti","Variola","louti","Variola louti","Actinopteri","Perciformes",218304
"Myripristis kuntee","Aldabra Atoll",,"Myripristis kuntee","Myripristis","kuntee","Myripristis kuntee","Actinopteri","Holocentriformes",217915
"Cheilinus undulatus","Aldabra Atoll",,"Cheilinus undulatus","Cheilinus","undulatus","Cheilinus undulatus","Actinopteri","Eupercaria incertae sedis",218945
"Acanthurus thompsoni","Aldabra Atoll",,"Acanthurus thompsoni","Acanthurus","thompsoni","Acanthurus thompsoni","Actinopteri","Acanthuriformes",219646
"Chlorurus sordidus","Aldabra Atoll",,"Chlorurus sordidus","Chlorurus","sordidus","Chlorurus sordidus","Actinopteri","Eupercaria incertae sedis",219082
"Melichthys indicus","Aldabra Atoll",,"Melichthys indicus","Melichthys","indicus","Melichthys indicus","Actinopteri","Tetraodontiformes",219882
"Hemitaurichthys zoster","Aldabra Atoll",,"Hemitaurichthys zoster","Hemitaurichthys","zoster","Hemitaurichthys zoster","Actinopteri","Acanthuriformes",218762
"Gnathodentex aureolineatus","Aldabra Atoll",,"Gnathodentex aureolineatus","Gnathodentex","aureolineatus","Gnathodentex aureolineatus","Actinopteri","Eupercaria incertae sedis",218574
"Ctenochaetus truncatus","Aldabra Atoll",,"Ctenochaetus truncatus","Ctenochaetus","truncatus","Ctenochaetus truncatus","Actinopteri","Acanthuriformes",277563
"Odonus niger","Aldabra Atoll",,"Odonus niger","Odonus","niger","Odonus niger","Actinopteri","Tetraodontiformes",219883
"Lutjanus gibbus","Aldabra Atoll",,"Lutjanus gibbus","Lutjanus","gibbus","Lutjanus gibbus","Actinopteri","Eupercaria incertae sedis",218480
"Caesio xanthonota","Aldabra Atoll",,"Caesio xanthonota","Caesio","xanthonota","Caesio xanthonota","Actinopteri","Eupercaria incertae sedis",219994
"Carcharhinus amblyrhynchos","Aldabra Atoll",,"Carcharhinus amblyrhynchos","Carcharhinus","amblyrhynchos","Carcharhinus amblyrhynchos","Elasmobranchii","Carcharhiniformes",217337
"Acanthurus leucosternon","Aldabra Atoll",,"Acanthurus leucosternon","Acanthurus","leucosternon","Acanthurus leucosternon","Actinopteri","Acanthuriformes",219628
"Lepidozygus tapeinosoma","Aldabra Atoll",,"Lepidozygus tapeinosoma","Lepidozygus","tapeinosoma","Lepidozygus tapeinosoma","Actinopteri","Ovalentaria incertae sedis",212793
"Naso hexacanthus","Aldabra Atoll",,"Naso hexacanthus","Naso","hexacanthus","Naso hexacanthus","Actinopteri","Acanthuriformes",219667
"Scarus tricolor","Aldabra Atoll",,"Scarus tricolor","Scarus","tricolor","Scarus tricolor","Actinopteri","Eupercaria incertae sedis",219098
"Dermatolepis striolatus","Aldabra Atoll",,"Dermatolepis striolatus","Dermatolepis","striolatus","Dermatolepis striolatus","Actinopteri","Perciformes",218195
"Naso mcdadei","Aldabra Atoll",,"Naso mcdadei","Naso","mcdadei","Naso mcdadei","Actinopteri","Acanthuriformes",278008
"Naso brevirostris","Aldabra Atoll",,"Naso brevirostris","Naso","brevirostris","Naso brevirostris","Actinopteri","Acanthuriformes",219671
"Chlorurus strongylocephalus","Aldabra Atoll",,"Chlorurus strongylocephalus","Chlorurus","strongylocephalus","Chlorurus strongylocephalus","Actinopteri","Eupercaria incertae sedis",219086
"Lutjanus ehrenbergii","Aldabra Atoll",,"Lutjanus ehrenbergii","Lutjanus","ehrenbergii","Lutjanus ehrenbergii","Actinopteri","Eupercaria incertae sedis",218489
"Naso brachycentron","Aldabra Atoll",,"Naso brachycentron","Naso","brachycentron","Naso brachycentron","Actinopteri","Acanthuriformes",219664
"Carcharhinus amblyrhynchos","Aldabra Atoll",,"Carcharhinus amblyrhynchos","Carcharhinus","amblyrhynchos","Carcharhinus amblyrhynchos","Elasmobranchii","Carcharhiniformes",217337
"Ginglymostoma cirratum","Aldabra Atoll",,"Ginglymostoma cirratum","Ginglymostoma","cirratum","Ginglymostoma cirratum","Elasmobranchii","Orectolobiformes",105846
"Carcharhinus limbatus","Aldabra Atoll",,"Carcharhinus limbatus","Carcharhinus","limbatus","Carcharhinus limbatus","Elasmobranchii","Carcharhiniformes",105793
"Carcharhinus albimarginatus","Aldabra Atoll",,"Carcharhinus albimarginatus","Carcharhinus","albimarginatus","Carcharhinus albimarginatus","Elasmobranchii","Carcharhiniformes",217352
"Carcharhinus longimanus","Aldabra Atoll",,"Carcharhinus longimanus","Carcharhinus","longimanus","Carcharhinus longimanus","Elasmobranchii","Carcharhiniformes",105794
"Negaprion brevirostris","Aldabra Atoll",,"Negaprion brevirostris","Negaprion","brevirostris","Negaprion brevirostris","Elasmobranchii","Carcharhiniformes",105800
