Rhinella marina
Gnathophyllum panamense
Grapsus grapsus
Hapalocarcinus marsupialis
Harpiliopsis depressa
Harpiliopsis spinigera
Hastigerella abbotti santacruzensis
Herbstia edwardsii
Herbstia pyriformis
Heteractaea lunata
Heteralepas aff. quadrata
Heterolaophonte serratula
Hexapanopeus cartagoensis
Hippa pacifica
Hippolyte williamsi
Hirsutodynomene ursula
Hyachelia tortugae
Hyale darwini
Hyale niger
Hymenocera picta
Hypoconcha panamensis
Iridopagurus occidentalis
Ischyrocerus litotes
Jonesius triunguiculatus
Klieonychocamptoides itoi
Kliopsyllus spiniger spiniger
Kliopsyllus unguiseta
Laophonte galapagoensis
Laticorophium baconi
Latreutes antiborealis
Lepas anatifera
Lepas pectinata
Lepeophtheirus dissimulatus
Leptastacus ctenatus
Leptastacus dispinosus
Leptastacus spatuliseta
Leptopontia breviarticulata
Leptopsyllus platyspinosus
Leptopsyllus punctatus
Lernaeocera branchialis
Leucothoe spinicarpa
Ligia baudiniana
Liomera cinctimanus
Lipaesthesius leeanus
Lithadia cumingii
Litopenaeus stylirostris
Longipedia santacruzensis
Lophopanopeus maculatus
Lophoxanthus lamellipes
Loureirophonte isabelensis
Lysmata argentopunctata
Lysmata chica
Lysmata galapagensis
Lysmata gracilirostris
Lysmata intermedia
Macrobrachium americanum
Macrobrachium hancocki
Maera inaequipes
Maiopsis panamensis
Medaeus spinulifer
Megabalanus peninsularis
Megabalanus vinaceus
Membranobalanus nebrias
Menippe obtusa
Mesocalanus tenuicornis
Mesorhoea bellii
Metapenaeopsis kishinouyei
Metis galapagoensis
Meximaera diffidentia
Microcassiope xantusii
Microjassa chinipa
Microlissa aurivilliusi
Microphrys aculeatus
Microphrys platysoma
Microphrys triangulatus
Microprosthema emmiltum
Micropsammis galapagoensis
Mimonectes sphaericus
Mithraculus nodosus
Mithrax bellii
Mithrax pygmaeus
Nannocalanus minor
Nannosquilla galapagensis
Nanocassiope polita
Nemausa spinipes
Neoalpheopsis euryone
Neogonodactylus pumilus
Neogonodactylus zacae
Neoleptastacus trisetosus
Neomegamphopus roosevelti
Neopisosoma bicapillatum
Neopisosoma mexicanum
Nesippus crypturus
Nitokra bisetosa
Nitokra galapagoensis
Noodtiella frequentior
Noodtiella hoodensis
Notopontia galapagoensis
Notosceles ecuadorensis
Nudiclavella galapagoensis
Nyctiphanes simplex
Ocypode gaudichaudii
Oncaea conifera
Oncaea mediterranea
Oncaea venusta
Oniscopsis robinsoni
Onychopontia peteraxi
Osachila galapagensis
Osachila levis
Ozius perlatus
Ozius verreauxii
Pachycheles biocellatus
Pachycheles velerae
Pachygrapsus transversus
Pagurus benedicti
Pagurus nesiotes
Palaemon gladiator
Palaemon ritteri
Palaemonella asymmetrica
Palaemonella holmesi
Palicus cortezi
Palicus fragilis
Palicus lucasii
Palicus velerae
Pandarus satyrus
Panulirus femoristriga
Panulirus gracilis
Panulirus penicillatus
Paracalanus denudatus
Paracalanus parvus
Paractaea sulcata
Paracypris crispa
Paradasygyius depressus
Paraeuchaeta norvegica
Paralaophonte galapagoensis
Paralaophonte problematica
Paralaophontodes exopoditus
Paralebion elongatus
Paramesochra helgolandica galapagoensis
Paramesochra unaspina
Paramicrodeutopus trichopus
Paramisophria galapagensis
Paraphoxus calcaratus
Paraphoxus oculatus
Parapinnixa glasselli
Paraxanthias insculptus
Pareucalanus attenuatus
Parhyale hawaiensis
Pariphinotus galapagoanus
Parthenope exilipes
Parthenope triangula
Percnon gibbesi
Periclimenaeus pacificus
Periclimenes infraspinis
Periclimenes soror
Periclimenes veleronis
Petrochirus californiensis
Petrolisthes armatus
Petrolisthes brachycarpus
Petrolisthes edwardsii
Petrolisthes galapagensis
Petrolisthes glasselli
Petrolisthes haigae
Petrolisthes polymitus
Petrolisthes tonsorius
Philocheras lapillus
Phimochirus californiensis
Photis elephantis
Phyllopodopsyllus angolensis
Phyllopodopsyllus furciger
Phyllopodopsyllus galapagoensis
Phyllopodopsyllus kunzi
Phyllopodopsyllus thiebaudi santacruzensis
Pilumnus pygmaeus
Pinnaxodes chilensis
Pinnixa darwini
Pinnixa transversalis
Pinnotheres pubescens
Pitho quinquedentata
Pitho sexdentata
Plagusia immaculata
Planes major
Platyactaea dovii
Platylepas decorata
Platymera gaudichaudii
Platypodiella gemmata
Platypodiella rotundata
Plesionika mexicana
Polycheria osborni
Polyonyx nitidus
Pomagnathus corallinus
Pontellopsis yamadae
Pontonia margarita
Posophotis seri
Processa peruviana
Protohyale (Protohyale) guasave
Protohyale (Protohyale) zuaque
Psammastacus galapagoensis
Psammocamptus galapagoensis
Pseudocalanus elongatus
Pseudocaligus parvus
Pseudocoutierea elegans
Pseudocryptochirus crescentus
Pseudodiaptomus galapagensis
Pseudodiaptomus wrighti
Pseudoleptomesochrella venezolana
Pseudosquilla adiastala
Pteropsyllus trisetosus
Pylopaguropsis teevana
Quadrella nitida
Quadrimaera reishi
Randallia agaricias
Ranilia fornicata
Rhincalanus nasutus
Rhynchocinetes typus
Rhyscotoides parallelus
Rimapenaeus pacificus
Salmoneus serratidigitus
Sapphirina angusta
Sapphirina gemma
Sapphirina metallina
Sapphirina nigromaculata
Sapphirina opalina
Sapphirina scarlata
Schizothrix ctenata
Scyllarides astori
Sicyonia aliaffinis
Sicyonia disparri
Sigmatidium kunzi
Sigmatidium triarticulatum
Skogsbergia galapagensis
Solenolambrus arcuatus
Sphenocarcinus agassizi
Stenocionops ovatus
Stenocopia limicola
Stenocopia sarsi
Stenorhynchus debilis
Stephanolepas muricata
Stylocheiron affine
Subeucalanus subcrassus
Synalpheus biunguiculatus
Synalpheus charon
Synalpheus digueti
Synalpheus nobilii
Synalpheus sanjosei
Syrticola galapagoensis
Taliepus marginatus
Teleophrys cristulipes
Temora discaudata
Temora longirostris
Tetraclita milleporosa
Tetragoniceps galapagoensis
Tetragoniceps santacruzensis
Tetrasquilla mccullochae
Tetraxanthus rathbunae
Thor amboinensis
Thysanoessa inermis
Trachycaris restricta
Trachysalambria brevisuturae
Trapezia digitalis
Trapezia ferruginea
Trizopagurus magnificus
Tullbergella cuspidatus
Tyche galapagensis
Typhlatya galapagensis
Typton crosslandi
Typton serratus
Uca galapagensis
Uca helleri
Uhlias ellipticus
Valettietta cavernicola
Varohios topianus
Veleronia serratifrons
Xanthodius cooksoni
Xanthodius stimpsoni
Xestoleberis arcturi
Anchialella vulcanella
Anchistrocheles darwini
Antronicippe serrata
Artemia salina
Calcinus explorator
Chelorchestia costaricana
Chelorchestia vaggala
Chlamydotheca mexicana
Colombophiloscia naevigesta
Cyprideis stenopora
Danielopolina styx
Dendrocephalus sarmentosus
Dolerocypria ensigera
Eucyclops agilis agg.
Expansophria galapagensis
Galapsiellus leleuporum
Garthiope anchialina
Geograpsus lividus
Grapsus grapsus
Guitonia troglophila
Hansacypris galapagoensis
Iliffeoecia iliffei
Kareloecia woutersi
Macrobrachium hancocki
Metacyclops mendocinus
Metoponorthus pruinosus
Mungava recta
Occultocythereis angusta
Ocypode gaudichaudii
Paracypris crispa
Paramisophria galapagensis
Porcellio laevis
Porcellio scaber
Prosekia galapagensis
Rhyscotoides parallelus
Skogsbergia galapagensis
Stenoniscus pleonalis
Strandesia stocki
Talorchestia fritzi
Tanais stanfordi
Trichorhina tomentosa
Triops longicaudatus
Tylos latreilli
Typhlatya galapagensis
Uca galapagensis
Uca helleri
Valettietta cavernicola
Venezillo beebei
Xestoleberis arcturi
Cycas circinalis
Cycas revoluta
Anisolabis maritima
Anophthalmolabis sp. nov.
Anopthalmolabis leleupi
Circolabia arcuata
Euborellia annulipes
Labia annulata
Labia curvicauda
Anaplecta lateralis
Blaberus parabolicus
Blattella germanica
Chorisoneura carpenteri
Chorisoneura cristobalensis
Cryptotermes darwini
Cryptotermes fatalus
Galapagia solitaria
Heterotermes convexinotatus
Heterotermes orthognathus
Holocompsa nitidula
Incisitermes galapagoensis
Incisitermes pacificus
Ischnoptera peckorum
Ischnoptera santacruzensis
Ischnoptera snodgrassii
Kalotermes fatulus
Kalotermes immigrans
Nauphoeta cinerea
Periplaneta americana
Periplaneta australasiae
Periplaneta brunnea
Phoetalia pallida
Pycnoscelus surinamensis
Rhyparobia maderae
Symploce pallens
Agenodesmus nullus
Asiomorpha coarctata
Cylindrodesmus hirsutus
Hexadesmus latridens
Lophoturus drifti
Nanostreptus geayi
Nesodesmus insulanus
Prosopodesmus jacobsoni
Rhinotus purpureus
Acrosticta apicalis
Aedes aegypti
Aedes taeniorhynchus
Allograpta neosplendens
Amblypsilopus depilis
Amobia floridensis
Anarete buscki
Anastrepha fraterculus
Aphaniosoma arenicolum
Aphaniosoma galamarillum
Aphaniosoma rabida
Argentinomyia agonis
Astiosoma sabulosum
Asyndetus ammophilus
Asyndetus bursericola
Asyndetus cavagnaroi
Asyndetus interruptus
Asyndetus maelfaiti
Asyndetus mystacinus
Asyndetus tibialis
Asyndetus versicolor
Asyndetus wiggensi
Atherigona orientalis
Athyroglossa tectora
Atissa luteipes
Basilia ferruginea
Bitheca involuta
Blaesoxipha insularis
Blaesoxipha isla
Blaesoxipha plinthopyga
Blaesoxipha violenta
Blaesoxipha williamsi
Brachycara digitata
Brachyodina insularis
Bradysia ocellaris
Bradysia radicum
Brontaea debilis
Cadrema pallida
Calycomyza lantanae
Campiglossa aesia
Campiglossa crockeri
Canacea snodgrassi
Canaceoides angulatus
Ceratitis capitata
Cerodontha dorsalis
Chersodromia floreana
Chersodromia galapagensis
Chersodromia isabela
Chetogena scutellaris
Chonocephalus dominicanus
Chonocephalus heymonsi
Chrysanthrax primitivus
Chrysochlorina fasciata
Chrysomya albiceps
Chrysomya megacephala
Chrysotus baerti
Chrysotus brevicornis
Chrysotus longipalpus
Clasiopella uncinata
Clogmia albipunctata
Clunio schmitti
Cochliomyia macellaria
Condylostylus longicornis
Conioscinella empheria
Conioscinella galapagensis
Coproica rufifrons
Culex quinquefasciatus
Culicoides pusillus
Cymatopus setosus
Cyrtoneuropsis rescita
Dasyhelea ancora
Dasyhelea atlantis
Dasyhelea borgmeieri
Dasyhelea mutabilis
Dasyhelea paracincta
Dasyhelea sinclairi
Dasyhelea spathicercus
Desmometopa tarsalis
Desmometopa varipalpis
Dicranomyia galapagoensis
Dimecoenia chilensis
Diplotaxa loma
Dohrniphora cornuta
Drino inca
Drosophila ananassae
Drosophila cardinoides
Drosophila hydei
Drosophila immigrans
Drosophila latifasciaeformis
Drosophila melanogaster
Drosophila metzii
Drosophila nebulosa
Drosophila pictiventris
Drosophila repleta
Drosophila simulans
Drosophila willistoni quechua
Drosophila xerophila
Dyseuaresta bilineata
Elachiptera cultrata
Elaphropeza zonalis
Epidapus perniciosus
Eugnoriste planiforceps
Euxesta callona
Euxesta cavagnaroi
Euxesta eluta
Euxesta galapagensis
Euxesta nesiotes
Euxesta phoeba
Euxesta schusteri
Euxesta spodia
Euxesta stigmatias
Fannia pusio
Forcipomyia galapagensis
Forcipomyia genualis
Galapagosia minuta
Galopagomyia inoa
Gaurax gethosyne
Geranomyia tibialis
Gitona braziliensis
Glenanthe ruetzleri
Goeldichironomus holoprasinus
Gymnoptera simplex
Hecamede brasiliensis
Hemipenthes galapagensis
Hermetia illucens
Hippelates alyscus
Holoplagia guamensis
Hydrellia wirthi
Hydrotaea aenescens
Icosta albipennis
Icosta nigra
Insulestremia sinclairi
Isodrapetis meridionalis
Lepidanthrax brachialis
Lepidanthrax tinctus
Leptocera erythrocera
Leptometopa halteralis
Liohippelates baptipalpis
Liohippelates galapagensis
Lipochaeta ranica
Liriomyza marginalis
Loewimyia fasciata
Loewimyia helenae
Lucilia deceptor
Lucilia eximia
Lucilia pionia
Lucilia setosa
Medetera galapagensis
Megaselia edenensis
Megaselia peckorum
Megaselia scalaris
Megaselia seticauda
Melanagromyza floris
Meoneura sinclairi
Microlynchia galapagoensis
Microsepsis armillata
Milichiella lacteipennis
Minilimosina rotundipennis
Monochaetoscinella anonyma
Musca domestica
Nemotelus albiventris
Neodexiopsis devia
Nocticanace ashlocki
Nocticanace cancer
Nocticanace curioi
Nocticanace darwini
Nocticanace galapagensis
Nocticanace scapanius
Nocticanace spinicosta
Nocticanace usingeri
Notogramma cimiciforme
Odinia williamsi
Olcella anaclasta
Olcella lupina
Olfersia aenescens
Olfersia sordida
Olfersia spinifera
Ommatius aridus
Ornidia obesa
Ornithoica vicina
Oxysarcodexia bakeri
Palpada albifrons
Palpada vinetorum
Paracanace cavagnaroi
Paracanace maritima
Paraclius desenderi
Paralimna decipiens
Parasphaerocera varipes
Paratissa pollinosa
Pareuxesta academica
Pareuxesta hyalinata
Pareuxesta intermedia
Pareuxesta latifasciata
Pareuxesta obscura
Pareuxesta xanthomera
Peckia chrysostoma
Peckia lambens
Pentacricia aldrichii
Peromyia galapagensis
Philornis downsi
Philygria galapagensis
Phytoliriomyza pilosella
Pieza sinclairi
Piophila casei
Pseudodoros clavatus
Psilopa girschneri
Psychoda alabangensis
Psychoda savaiiensis
Puliciphora borinquenensis
Puliciphora occidentalis
Puliciphora sobria
Pullimosina zayensis
Rachispoda fuscipennis
Rudolfina opuntiae
Sarothromyiops dasycnemis
Scaptomyza santacruzi
Scaptomyza sp.
Scatella galapagensis
Scatella obscura
Scenopinus galapagosensis
Sclerocoelus galapagensis
Sigaloessa variatincta
Simulium ochraceum
Spelobia bifrons
Stomoxys calcitrans
Symplecta pilipes
Synthesiomyia nudiseta
Tabanus vittiger
Tethina albula
Tethina insulans
Tethina spinulosa
Thalassomya longipes
Thalassomya pilipes
Thinophilus hardyi
Tomosvaryella galapagensis
Toxomerus crockeri
Toxomerus politus
Trachyopella atomus
Trachyopella hardyi
Tricharaea canuta
Tricharaea occidua
Trixoscelis costalis
Villa curvirostra
Xanthaciura aczeli
Zaprionus indianus
Zeros fenestralis
Zeros flavipes
Acanthaster planci
Agassizia scrobiculata
Amphichondrius granulatus
Amphicontus minutus
Amphilepis patens
Amphiodia tabogae
Amphiophiura irregularis
Amphiophiura obtecta
Amphiophiura paucisquama
Amphipholis squamata
Amphiura arcystata
Amphiura gymnogastra
Amphiura polyacantha
Amphiura serpentina
Amphiura verticillata
Aporocidaris milleri
Asteronyx loveni
Asteropsis carinifera
Asteroschema sublaeve
Astrodendrum galapagensis
Astrodia plana
Astrodictyum panamense
Astrolirus panamensis
Astrometis sertulifera
Astropecten armatus
Astropecten fragilis
Astropyga pulvinata
Benthodytes incerta
Benthodytes sanguinolenta
Benthopecten pectinifer
Benthopecten spinuliger
Brisaster latifrons
Brissopsis pacifica
Brissus obesus
Caenocentrotus gibbosus
Calamocrinus diomedae
Capheira sulcata
Centrocidaris doederleini
Centrostephanus coronatus
Clypeaster elongatus
Clypeaster europacificus
Clypeaster ochrus
Clypeaster rotundus
Clypeaster speciosus
Coronaster marchenus
Deima validum pacificum
Diadema mexicanum
Distolasterias robusta
Dytaster gilberti
Echinometra oblonga
Echinometra vanbrunti
Encope micropora
Eremicaster crassus
Euapta godeffroyi
Eucidaris galapagensis
Euthyonidiella zacae
Evasterias troscheli
Florometra serratissima
Freyellaster scalaris
Gymnophiura mollis
Heliaster cumingi
Heliaster solaris
Henricia gracilis
Henricia nana
Hesperocidaris panamensis
Histampica duplicata
Histocidaris cobosi
Holothuria (Cystipus) rigida
Holothuria (Halodeima) atra
Holothuria (Halodeima) kefersteini
Holothuria (Lessonothuria) pardalis
Holothuria (Mertensiothuria) hilla
Holothuria (Mertensiothuria) leucospilota
Holothuria (Platyperona) difficilis
Holothuria (Selenkothuria) lubrica
Holothuria (Selenkothuria) portovallartensis
Holothuria (Selenkothuria) theeli
Holothuria (Semperothuria) imitans
Holothuria (Semperothuria) languens
Holothuria (Stauropora) fuscocinerea
Holothuria (Thymiosycia) arenicola
Holothuria (Thymiosycia) impatiens
Hymenaster gracilis
Hymenaster platyacanthus
Isostichopus fuscus
Labidodemas americanum
Labidodemas maccullochi
Laetmogone theeli
Leiaster teres
Leptychaster inermis
Linckia columbiae
Lissothuria veleronis
Lophaster furcilliger
Lovenia cordiformis
Luidia bellonae
Luidia columbia
Luidia foliolata
Luidia superba
Lytechinus semituberculatus
Mellitella stokesii
Meoma ventricosa grandis
Mesothuria multipes
Microphiopholis platydisca
Microphiopholis puntarenae
Mithrodia bradleyi
Myxoderma longispinum
Nacospatangus oblonga
Narcissia gracilis
Neothyone gibber
Nidorellia armata
Nymphaster diomedeae
Ophiacantha cyrena
Ophiacantha inconspicua
Ophiacantha phragma
Ophiacantha quadrispina
Ophiacantha similis
Ophiactis plana
Ophiactis savignyi
Ophiactis simplex
Ophiernus adspersus annectens
Ophiernus seminudus
Ophiocoma aethiops
Ophiocomella schmitti
Ophiocten hastatum
Ophioderma elaps
Ophioderma panamense
Ophioderma panamensis
Ophioderma teres
Ophioderma variegatum
Ophiolebes mortenseni
Ophiomisidium leurum
Ophiomyxa panamensis
Ophionereis albomaculata
Ophionereis annulata
Ophionereis nuda
Ophionereis perplexa
Ophiophragmus disacanthus
Ophiophragmus marginatus
Ophiophragmus papillatus
Ophiophragmus paucispinus
Ophiophragmus tabogensis
Ophiophyllum marginatum
Ophioplinthus inornata
Ophioplocus hancocki
Ophiosphalma glabrum
Ophiosphalma jolliense
Ophiothela mirabilis
Ophiotholia spathifer
Ophiothrix galapagensis
Ophiothrix magnifica
Ophiozonella alba
Ophiozonella clypeata
Ophiozonella contigua
Ophiura flagellata
Ophiura irrorata irrorata
Ophiuroconis bispinosa
Ophiurothamnus laevis
Pachythyone lugubris
Parvulastra exigua
Paulia horrida
Pectinaster agassizi
Pelagothuria natatrix
Peniagone gracilis
Peniagone intermedia
Peniagone vitrea
Pentaceraster cumingi
Pentamera chierchiae
Pentamera chiloensis
Phataria unifascialis
Plesiodiadema horridum
Pourtalesia tanneri
Psathyrometra bigradata
Pseudarchaster pulcher
Pseudostichopus mollis
Psilaster sladeni
Psolus diomedeae
Psychropotes verrucosa
Rathbunaster californicus
Rhyncholampas pacificus
Salenocidaris miliaris
Schizaster rotundatus
Sigsbeia lineata
Stichopus horrens
Synallactes aenigma
Tamaria obstipa
Tarsaster galapagensis
Tethyaster canaliculatus
Thalassometra agassizii
Thyone neofusus
Toxopneustes roseus
Tripneustes depressus
Tromikosoma hispidum
Adelomyrmex myops
Brachymyrmex heeri
Camponotus conspicuus zonatus
Camponotus macilentus
Camponotus planus
Cardiocondyla emeryi
Cardiocondyla minutior
Cardiocondyla nuda
Crematogaster curvispinosa
Cylindromyrmex whymperi
Cyphomyrmex nesiotus
Cyphomyrmex rimosus
Cyphomyrmex sp. nov. "hh04"
Dorymyrmex pyramicus albemarlensis
Hypoponera opaciceps
Hypoponera punctatissima
Leptogenys sp. nov. "hh03"
Monomorium floricola
Odontomachus bauri
Odontomachus ruginodis
Paratrechina longicornis
Paratrechina steinheili
Paratrechina vaga
Pheidole flavens
Pheidole williamsi
Pyramica membranifera
Rogeria curvipubens
Solenopsis geminata
Solenopsis globularia pacifica
Solenopsis gnoma
Strumigenys emmae
Strumigenys louisianae
Tapinoma melanocephalum
Tetramorium bicarinatum
Tetramorium caldarium
Tetramorium lanuginosum
Tetramorium simillimum
Wasmannia auropunctata
Ambrosiella floreanae
Bulimulus achatellinus
Bulimulus acutus
Bulimulus adserseni
Bulimulus allynsmithi
Bulimulus amastroides
Bulimulus approximatus
Bulimulus asperatus
Bulimulus bauri
Bulimulus calvus caryonis
Bulimulus calvus
Bulimulus canaliferus
Bulimulus chemnitzioides
Bulimulus cinerarius
Bulimulus cucullinus
Bulimulus curtus
Bulimulus deridderi
Bulimulus duncanus
Bulimulus eschariferus pileatus
Bulimulus eschariferus
Bulimulus galapaganus
Bulimulus gilderoyi
Bulimulus habeli
Bulimulus hemaerodes
Bulimulus hoodensis
Bulimulus invalidus
Bulimulus jacobi vermiculatus
Bulimulus jervisensis
Bulimulus josevillani
Bulimulus krameri
Bulimulus kublerensis
Bulimulus nilsodhneri
Bulimulus nucula
Bulimulus nux basiplicatus
Bulimulus nux perchloris
Bulimulus nux verrucosus
Bulimulus nux monotoenius
Bulimulus nux asperatus
Bulimulus nux nuciformis
Bulimulus nux incrassatus
Bulimulus perspectivus
Bulimulus pinzonopsis
Bulimulus prepinguis
Bulimulus rugatinus
Bulimulus rugulosus infuscata
Bulimulus rugulosus
Bulimulus snodgrassi
Bulimulus steadmani
Bulimulus tanneri bartolomensis
Bulimulus tanneri edenensis
Bulimulus tortuganus
Bulimulus trogonius
Bulimulus tuideroyi
Bulimulus ustulatus venustus
Bulimulus ustulatus pallescens
Bulimulus ustulatus phlegonis
Bulimulus ustulatus
Bulimulus vanmoli
Bulimulus ventrosus
Cecilioides acicula
Cecilioides (Geostilbia) aperta
Deroceras laeve
Ellobium stagnalis
Gastrocopta clausa
Gastrocopta duncana
Guppya bauri
Helicina nesiotica
Helicina ochsneri
Lissachatina fulica
Melampus trilineatus
Naesiotus adelphus
Naesiotus akamatus
Naesiotus albemarlensis
Naesiotus alethorhytidus
Naesiotus blombergi
Naesiotus cavagnaroi
Naesiotus darwini
Naesiotus elaeodes
Naesiotus eos
Naesiotus eschariferus ventrosus
Naesiotus hirsutus
Naesiotus indefatigabilis
Naesiotus jacobi
Naesiotus lycodus
Naesiotus nesioticus
Naesiotus nux
Naesiotus ochsneri
Naesiotus olla
Naesiotus olla jacobinus
Naesiotus perrus
Naesiotus pinzonensis
Naesiotus planospira
Naesiotus rabidensis
Naesiotus reibischi
Naesiotus rugiferus
Naesiotus saeronius
Naesiotus sculpturatus
Naesiotus simrothi
Naesiotus tanneri
Naesiotus unifasciatus
Naesiotus wolfi
Nesopupa galapagensis
Onchidella steindachneri
Opeas pumilum
Pedipes angulatus
Pupisoma dioscoricola
Pupisoma galapagorum
Retinella actinophora
Retinella santacrucensis
Sarasinula plebeia
Scolodonta rinae
Siphonaria gigas
Streptostele musaecola
Strobilops helleri
Subulina octona
Succinea bettii
Succinea brevior
Succinea corbis
Succinea producta
Tornatellides chathamensis
Williamia peltoides
Zonitoides arboreus
Acrosternum ubicum
Acrosternum viridans
Acyrthosiphon bidenticola
Agallia pecki
Agallia plana
Agallia striolaris
Alcaeorrhynchus grandis
Aleurothrixus floccosus
Aleurotrachelus trachoides
Alfoa sodalis
Alofa sodalis
Amphiareus constrictus
Amphicephalus insularis
Amplicephalus insularis
Anasa obscura
Anasa scorbutica
Antonina graminis
Aonidiella aurantii
Aonidiella orientalis
Aphis coreopsidis
Aphis craccivora
Aphis gossypii
Aphis nerii
Aphis spiraecola
Aspidiella hartii
Aspidiotus aff. pacificus
Aspidiotus destructor
Aspidiotus excisus
Asterolecanium pustulans
Asterolecanium puteanum
Athysanus digressus
Aulacorthum solani
Austroagallia mera
Balclutha aridula
Balclutha incisa
Balclutha lucida
Balclutha neglecta
Balclutha rosea
Barce fraterna
Bemisia tabaci
Brachymeria podagrica
Brevicoryne brassicae
Buchananiella sodalis
Caenodelphax teapae
Campylomma citrina
Cardiastethus limbatellus
Ceroplastes cirripediformis
Ceroplastes floridensis
Ceroplastes rusci
Ceroplastes sinensis
Chorizococcus nakaharai
Cicadulina tortilla
Cimex lectularius
Circulifer tenellus
Coccus hesperidum
Coccus longulus
Coccus viridis
Coelidiana krameri
Colgorma menalcas
Conchaspis angraeci
Corythaica cytharina
Corythaica darwiniana
Corythaica wolfiana
Creontiades castaneum
Creontiades castaneus
Creontiades citrinus
Creontiades fernandinus
Creontiades fuscosus
Creontiades punctatus
Creontiades vittatus
Creontiades willowsi
Cymoninus notabilis
Cyrtopeltis affinis
Cyrtopeltis arida
Cyrtopeltis floreana
Cyrtopeltis floreanae
Cyrtopeltis gummiferae
Cyrtopeltis helleri
Cyrtopeltis modesta
Dagbertus darwini
Dagbertus figuratus
Dagbertus formosus
Dagbertus lineatus
Dagbertus marmoratus
Dagbertus nigrifrons
Dagbertus pallidus
Dagbertus quadrinotatus
Dagbertus spoliatus
Dallasiellus murinus
Darwinivelia fosteri
Darwinysius marginalis
Darwinysius wenmanensis
Diaphnidia crockeri
Docalidia spangleri
Dolichomiris linearis
Dysdercus concinnus
Dysdercus lunulatus
Dysmicoccus boninsis
Dysmicoccus brevipes
Empicoris armatus
Empicoris barberi
Empicoris rubromaculatus
Empoasca canavalia
Engytatus affinis
Engytatus arida
Engytatus floreana
Engytatus gummiferae
Engytatus helleri
Engytatus modestus
Eriococcus aff. dubius
Eriococcus papillosus
Exitianus fasciolatus
Ferrisia virgata
Fulvius brevicornis
Fulvius geniculatus
Galapagocoris crockeri
Galapagomiris lomgirostris
Galapagomiris longirostris
Geococcus coffeae
Geotomus murinus
Ghinallelia galapagensis
Ghinallelia leleuporum
Ghinallelia schaeferi
Ghinallelia usingeri
Ghinallelia vagvolgyianus
Ghinallelia wygodzinskyi
Halobates micans
Halobates robustus
Halobates sericeus
Halobates sobrinus
Halobates splendens
Halticus bractatus
Harmostes disjunctus
Harmostini disjunctus
Hemiberlesia aff. rapax
Hemiberlesia lataniae
Heraeus pacificus
Heteropsylla cubana
Heza ephippium
Horcias chiriquinus
Horcias lacteiclavus
Howardia biclavis
Hysteroneura setariae
Icerya purchasi
Inglisia vitrea
Insignorthezia insignis
Ischnaspis longirostris
Jadera silbergliedi
Jikradia galapagoensis
Lasiochilinae pallidulus
Lasiochilus pallidulus
Lepidosaphes beckii
Leptobyrsa decora
Limnogonus franciscanus
Liorhyssus hyalinus
Loxa viridis
Macrolophus innotatus
Macrolophus punctatus
Macrosteles fascifrons
Margarodes similis
Mecidea minor
Melanaethus subglaber
Melanaspis odontoglossi
Melanaspis tenebricosa
Mesovellia amoena
Mesovellia hambletoni
Metacanthus galapagensis
Metacanthus tenellus
Metadelphax propinqua
Microvelia ashlocki
Microvelia isabelae
Myzus persicae
Nabis consimilis
Nabis galapagoensis
Nabis reductus
Neomegalotomus parvus
Neomyzus circumflexum
Neopamera insularis
Neortholomus usingeri
Nesosydne alcmaeon
Nesosydne augur
Nesosydne brimo
Nesosydne iphis
Nesosydne olipor
Nesosydne seneca
Nesosydne simulans
Nezara viridula
Nidicola mazda
Niesthrea ashlocki
Niesthrea sidae
Nipaecoccus nipae
Nymphocixa vanduzeei galapagoensis
Nymphocixia vanduzeei
Nymphocixia vanduzeei galapagensis
Nysius naso
Nysius usitatus
Odonaspis galapagoensis
Odonaspis saccharicola agg.
Oliarus agrippa
Oliarus alabandus
Oliarus alastor
Oliarus galapagensis
Oliarus hernandesi
Oliarus remansor
Orius tristicolor
Ortholomus usingeri
Pachybrachius nesovinctus
Paracarsidara dugesii
Paracoccus solani
Paraplea puella
Parasaissetia nigra
Parlatoria crotonis
Pentacora sphacelata
Pentalonia nigronervosa
Peregrinus maidis
Phatnoma biordinatum
Phatnoma eremaea
Phenacoccus herreni
Phenacoccus parvus
Phenacoccus solenopsis
Philatis athamas
Philatis atrax
Philatis auson
Philatis breviceps
Philatis cinerea
Philatis crockeri
Philatis daunus
Philatis delia
Philatis deucalion
Philatis latobius
Philatis lento
Philatis lycambes
Philatis major
Philatis monaeses
Philatis opheltes
Philatis productus
Philatis rostrifer
Philatis serva
Philatis servus
Philatis varia
Philatis vicina
Piezodorus guildinii
Pinnaspis strachani
Pissonotus substitua
Pissonotus substituus
Planococcus citri
Platymetopius aequinoctialis
Ploiaria macrophthalma
Podisus sordidus
Poeciloscytus vegatus
Polymerus nigritulus
Polymerus vegatus
Praelongorthezia galapagoensis
Praelongorthezia praelonga
Protalebrella brasiliensis
Prytanes confusus
Psallus insularis
Psallus longirostris
Psallus mella
Psallus usingeri
Psedopachybrachius nesovinctus
Pseudaonidia trilobitiformis
Pseudococcus aff. landoi
Pseudococcus elisae
Pseudococcus galapagoensis
Pseudococcus insularis
Pseudococcus longispinus
Pseudococcus schusteri
Pulvinaria psidii
Pulvinaria urbicola
Rasahus hamatus
