Rhinella marina
Corynoppia turgiseta
Coryssocnemis sp. nov. 1
Coryssocnemis sp. nov. 2
Cosmochthonius foveolatus
Cosmochthonius reticulatus
Cosmochthonius suramericanus
Creugas bellator
Creugas gulosus
Cryptachaea orana
Cryptoplophora abscondita
Ctenacarus araneolus
Cultrobates heterodactylus
Cyclosa conica
Cyclosa turbinata
Cyrthermannia simplex
Darwinneon crypticus
Discosuctobelba variosetosa
Eidmannella pallida
Emblyna formicaria
Eohypochthonius gracilis
Epectris apicalis
Epidermoptes bilobatus
Epilohmannia cylindrica cylindrica
Epilohmannia pallida pacifica
Epistomolichus reticulatus
Eremaeozetes darwini
Eremaeozetes irenae
Eremulus rigidisetus
Eremulus truncatus
Erigone atra
Erigone miniata
Eriophyes konoi
Ero gemelosi
Erythraeus remotus
Escaphiella cristobal
Escaphiella gertschi
Escaphiella Isabela
Euophrys vestita
Eustala meridionalis
Eustala occidentalis
Eustala orientalis
Eustala vegeta
Faiditus sullana
Flagrosuctobelba setosa
Fosseremus quadripertitus
Frigga crocuta
Galapa baerti
Galapa bella
Galapa floreana
Galapagacarus schatzi
Galaporella thaleri
Galumna australis
Galumna circularis
Galumna flabellifera
Galumna hamifer
Gamasomorpha insularis
Gamasomorpha sp. nov.
Gamasomorpha wasmanniae
Gasteracantha cancriformis
Gastercantha cancriformis
Glenognatha argyrostilba
Glenognatha maelfaiti
Goeldia obscura
Habronattus encantadas
Hadruroides galapagoensis
Hadruroides maculatus galapagoensis
Haplacarus javensis
Haplochthonius sanctaeluciae
Haplozetes minimicoma
Hasarius adansonii
Helvetia albovittata
Helvetia insularis
Hemileius initalis
Hemileius suramericanus
Heptacarus encantadae
Heteroonops spinimanus
Heteropoda venatoria
Hogna albemarlensis
Hogna espanola
Hogna galapagoensis
Hogna hendrickxi
Hogna jacquesbreli
Hogna junco
Hogna snodgrassi
Hydrozetes lemnae
Hypoaspis antennata
Hypoaspis ardoris
Hypoaspis cassoidea
Hypoaspis gladii
Hypoaspis latodentis
Hypoaspis queenslandica
Indotritia bellingeri
Indotritia retusa
Ischnothyreus peltifer
Issaniella mograbin
Ixodes galapagoensis
Lamellobates molecula
Laminacauda baerti
Latrodectus apicalis
Latrodectus geometricus
Leucauge argyra
Leucauge bituberculata
Lohmannia jornoti
Lohmannia similis
Lohmannia vulcania
Loxosceles laeta
Lygromma anops
Machuella ventrisetosa
Malacoangelia remigera
Malaconothrus hauseri
Malaconothrus mollisetosus
Mastophora rabida
Mecaphesa inclusa
Meioneta albomaculata
Meioneta arida
Meioneta galapagoensis
Meioneta pinta
Menemerus bivittatus
Meristacarus porcula
Mermessus fradeorum
Metacyrba insularis
Metagonia bellavista
Metagonia reederi
Metazygia dubia
Metazygia wittfeldae
Metepeira desenderi
Microtegeus borhidii
Mimetus epeiroides
Mochloribatula multiporosa
Mochlozetes penetrabilis
Modisimus culicinus
Modisimus modicus
Modisimus solus
Multioppia insularis
Mumaseius evectus
Mumaseius foraminosus
Myialges caulotoon
Mysmena santacruzi
Neocautinella neoterica
Neocleobis solitarius
Neomaso patagonicus
Neoscona oaxacensis
Neozimiris pinta
Neozimiris pinzon
Nephila clavipes
Nesiacarus schusteri
Nesticodes rufipes
Nothrus biciliatus
Nothrus oblongus
Notiohyphantes excelsus
Notophthiracarus schatzii
Odo desenderi
Odo galapagoensis
Odo insularis
Odo maelfaiti
Oecobius concinnus
Oecobius navus
Olios galapagoensis
Oplitis cristobalensis
Oplitis ellipsoides
Oplitis floreanae
Oplitis marginalis
Oplitis pecki
Oplitis peckisimilis
Oplitis schatzi
Oplitis southplazae
Oplitis structura
Opopaea apicalis
Opopaea concolor
Opopaea deserticola
Opopaea lena
Oppiella nova
Oribotritia didyma
Ornithodoros transversus
Orthohalarachne diminuata
Oxidus gracilis
Oxyopes saltans
Oxyopes salticus
Oxyoppia suramericana
Parachernes galapagensis
Paralamellobates ceylanicus
Parapirnodus longus
Parasuctobelba complexa
Parhypochthonius aphidinus
Pergalumna bifissurata
Pergalumna bryani
Pergalumna decoratissima
Pergalumna ventralis
Phanias distans
Phantyna remota
Pheroliodes intermedius
Philaeus pacificus
Phthiracarus anonymus
Phthiracarus pygmaeus
Phycosoma  lineatipes
Phyllozetes emmae
Physocyclus globosus
Pikelinia fasciata
Pirnodus imitans
Plateremaeus costulatus
Platnickina mneon
Plexippus paykulli
Plonaphacarus kugohi
Poecilochroa bifaciata
Poecilochthonius spiciger
Polyxylobates diversiporosus
Proprioseiopsis isocaudarum
Proprioseiopsis variocaudarum
Protoribates capucinus
Prototritia glomerata
Pseudochthonius galapagensis
Pseudoparasitus nasipodaliae
Pseudoparasitus rectagoni
Pseudoparasitus schatzi
Quadroppia circumita
Ramusella chulumanensis curtipilis
Reductoonops pinta
Rhipicephalus sanguineus
Rhompaea fictilium
Rhysotritia ardua
Rhysotritia clavata
Rhysotritia comteae
Rhysotritia dinota
Rhysotritia ejuncida
Rostrozetes foveolatus
Scheloribates elegans form A
Scheloribates laticlava
Scheloribates praeincisus
Scheloribates sphaeroides
Scheloribates striatus form A
Schizomus portoricensis
Scutacarus longitarsus
Scytodes fusca
Scytodes longipes
Selenops galapagoensis
Selenops mexicanus
Sellnickochthonius immaculatus
Sicarius ultriformis
Sicarius utriformis
Sitticus phaleratus
Sitticus tenebricus
Sitticus uber
Sitticus vanvolsemorum
Solenozetes carinatus
Speocera jacquemarti
Sphaerochthonius litoralis
Sphaerochthonius splendidus
Steatoda andina
Stenochrus portoricensis
Striatoppia lanceolata
Striatoppia opuntiseta
Suctobelbella decorata
Suctobelbella perdentata
Tarsonops ariguanabo
Tectocepheus minor
Tectocepheus velatus
Tetragnatha lewisi
Tetragnatha nitens
Theotima galapagoensis
Theotima galapagosensis
Theridion calcynatum
Theridion coldeniae
Theridion melanostictum
Theridion myersi
Theridion strepitus
Theridion volubile
Theridiosoma sancristobalensis
Thymoites confraternus
Thymoites guanicae
Tidarren sisyphoides
Tivyna spatula
Tmarus stolzmanni
Torpacarus galapagensis
Torpacarus omittens galapagensis
Torpacarus remotus
Trachyzelotes kulckzynskii
Trhypochthonius excavatus
Trhypochthonius tectorum
Triaeris stenaspis
Trichouropoda rackae
Trimalaconothrus novus
Typhloseiopsis conspicua
Tyrannochthonius albidus
Uloborus segregatus
Uroactinia galapagosensis
Vatacarus amblyrhynchus
Vatacarus intranasalis
Xenocaligonellidus galapagus
Zelotes laetus
Zelotes reformans
Zetorchestes schusteri
Zosis geniculatus
Acremonium larvarum
Akanthomyces aculeatus
Akanthomyces pistillariiformis
Alternaria brassicae
Antennospora quadricornuta
Aphanoascus keratinophilus
Arthroderma quadrifidum
Asperisporium caricae
Beauveria amorpha
Beauveria bassiana
Belonidium sclerotii
Botryobasidium conspersum
Camillea sagrana
Cercospora apii
Cercospora rhizophorae
Chlorociboria aeruginascens
Chrysosporium tropicum
Cladosporium sphaerospermum
Coprotus argenteus
Corollospora trifurcata
Cosmospora rickii
Ctenomyces serratus
Daldinia clavata
Daldinia concentrica var. microspora
Daldinia eschscholzii
Eoaleurina foliicola
Erysiphe diffusa
Glomerella cingulata
Gymnoascus reessii
Helicosporium guianense
Hirsutella besseyi
Hirsutella darwinii
Hirsutella sphaerospora
Hymenoscyphus lasiopodius
Hypocrea cerebriformis
Hypoxylon dieckmannii
Hypoxylon placentiforme
Hypoxylon sclerophaeum
Hysterobrevium mori
Iodophanus carneus
Isaria farinosa
Jafneadelphus tectipus
Julella avicenniae
Kretzschmaria deusta
Lachnum virgineum
Lecanicillium lecanii
Lecanicillium muscarium
Leptosphaeria sacchari
Memnoniella echinata
Metarhizium anisopliae
Metarhizium flavoviride
Microcera coccophila
Moelleriella epiphylla
Mycosphaerella areola
Mycosphaerella cruenta
Mycosphaerella fijiensis
Mycosphaerella heningsii
Mycosphaerella musicola
Mycosphaerella tassiana
Nectria coccophila
Nectria pseudotrichia
Oidium conspersum
Paecilomyces tenuipes
Passalora boldoae
Passalora fulva
Passalora sidarum
Periconia byssoides
